label index:value index:value ... index:value
0 0:0.2 1:0.3 2:1.2 3:0.7
0 0:0.2 1:0.3 2:1.2 3:0.7
0 0:0.2 1:0.3 2:1.2 3:0.7
0 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:0.7
1 0:0.2 1:0.3 2:1.2 3:10.7
2 0:3.2 1:8.3 2:1.2 3:0.7
2 0:5.2 1:5.3 2:1.2 3:12.7
2 0:2.2 1:3.3 2:1.2 3:0.7
